node,num_cpus,num_gpus,CPU_GEN,GPU_SKU,IB,CPU_FRQ,GPU_GEN,CLASS,CPU_SKU,CPU_MNF,GPU_MEM,GPU_CC,GPU_BRD
sh02-05n05,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n06,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n07,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n08,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n09,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n10,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n11,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n12,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n13,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n14,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n15,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n16,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n17,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n18,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n19,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n20,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n21,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n22,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n23,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n24,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n29,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n30,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n31,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n32,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n33,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n34,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-05n35,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
